unique.df_usable.call_for_service.
unwant - unwanted person
415 - disturbance
488 - petty theft
1066 - suspicious person
parker - parking violation
1154 - suspicious vehicle
459a - auto burglary
10851 - motor vehicle theft
suscir - suspicious circumstances event
594 - vandalism
1053 - person down
243a - assault / battery
487 - grand theft
211 - robbery
417 - brandishing
1179 - accident w/ medical routed
374b - illegal dumping
422 - criminal threats
314 - indecent exposure
hs - narcotics use/possession
10851r - recovered stolen vehicle
215 - car jacking
23110 - throwing objects at a vehicle
459c - commercial burglary
459r - residential burglary
fight - physical fight
sfrmc - shots fired
211a - business hold up/robbery alarm
10852 - vehcile parts theft
dopers - narcotic sales
1027 - wanted person / warrant
148.1 - bomb threat
stalk - stalking
496 - stolen property
245 - assault with a deadly weapon
1071 - shooting (actual victim)
1051 - drunk / intoxicated
207 - kidnapping
mgun - person with a gun
loiter - loitering
459 - burglary (misc)
1070 - prowler
647b - prostition
243.4 - sexual battery / assault
370 - public nuisance
22810 - assault with pepper spray / tear gas
246 - shooting into a dwelling
247b - shooting into an unoccupied vehicle
220 - assault with intent to rape or rob
1075 - shots fired (shotspotter)
