latitude,longitude,event_number,call_for_service,received_date,first_unit_arrived_time,cleared_date,address,cleaned_address,cross_street_flag,full_address,BAD_LATLON_FLAG,NO_STREET_NUMBER_FLAG,FREEWAY_FLAG,distance_m,distance_ft
37.902505196586,-122.298082682443,230723336,parker - parking violation,2023-07-23T19:45:00Z,2023-07-23T19:45:00Z,2023-07-23T19:45:00Z,"420 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","420 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"420 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,80.01970721585121,262.53184782103415
37.902505196586,-122.298082682443,220914217,parker - parking violation,2022-09-14T15:12:00Z,2022-09-14T15:12:00Z,2022-09-14T15:22:00Z,"420 RICHMOND ST, EL CERRITO, CA, 94530","420 richmond street, el cerrito, ca, 94530",FALSE,"420 richmond street, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,80.01970721585121,262.53184782103415
37.902505196586,-122.298082682443,201118189,parker - parking violation,2020-11-18T12:35:00Z,2020-11-18T12:35:00Z,2020-11-18T12:35:00Z,"420 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","420 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"420 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,80.01970721585121,262.53184782103415
37.903149995955,-122.299786908768,230515179,parker - parking violation,2023-05-15T12:39:00Z,2023-05-15T12:39:00Z,2023-05-15T12:39:00Z,"6632 CENTRAL AVE, EL CERRITO, CA, 94530","6632 central avenue, el cerrito, ca, 94530",FALSE,"6632 central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,85.99635323381861,282.1402665151529
37.902481601528,-122.297990565327,221221045,10851 - motor vehicle theft,2022-12-21T05:53:00Z,2022-12-21T07:23:00Z,2022-12-21T07:57:00Z,"412 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,88.46402887004176,290.2363151904257
37.902481601528,-122.297990565327,210528176,1154 - suspicious vehicle,2021-05-28T14:45:00Z,2021-05-28T14:58:00Z,2021-05-28T15:13:00Z,"412 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,88.46402887004176,290.2363151904257
37.902481601528,-122.297990565327,200402049,1154 - suspicious vehicle,2020-04-02T08:16:00Z,2020-04-02T08:16:00Z,2020-04-02T08:19:00Z,"412 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,88.46402887004176,290.2363151904257
37.902481601528,-122.297990565327,240327333,parker - parking violation,2024-03-27T15:21:00Z,2024-03-27T15:21:00Z,2024-03-27T15:26:00Z,"412 RICHMOND ST, EL CERRITO, CA, 94530","412 richmond street, el cerrito, ca, 94530",FALSE,"412 richmond street, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,88.46402887004176,290.2363151904257
37.902481601528,-122.297990565327,231112132,parker - parking violation,2023-11-12T10:33:00Z,2023-11-12T10:33:00Z,2023-11-12T10:57:00Z,"412 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"412 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,88.46402887004176,290.2363151904257
37.902366434178,-122.298065331903,250520300,parker - parking violation,2025-05-20T15:09:00Z,2025-05-20T15:09:00Z,2025-05-20T15:11:00Z,"416 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","416 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"416 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,89.00088702940023,291.9976608576123
37.902366434178,-122.298065331903,220203273,parker - parking violation,2022-02-03T16:17:00Z,2022-02-03T16:17:00Z,2022-02-03T16:24:00Z,"416 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","416 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"416 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,89.00088702940023,291.9976608576123
37.902366434178,-122.298065331903,220316180,parker - parking violation,2022-03-16T12:50:00Z,2022-03-16T12:50:00Z,2022-03-16T12:52:00Z,"416 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","416 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"416 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,89.00088702940023,291.9976608576123
37.903317989736,-122.299731989531,191129178,1066 - suspicious person,2019-11-29T15:36:00Z,2019-11-29T16:32:00Z,2019-11-29T16:37:00Z,"OAK ST & CENTRAL AVE, OAK ST & CENTRAL AVE, EL CERRITO, CA, 94530","oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530",FALSE,"oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,91.80208298165792,301.1879362915286
37.903317989736,-122.299731989531,190819104,1154 - suspicious vehicle,2019-08-19T09:58:00Z,2019-08-19T10:07:00Z,2019-08-19T10:19:00Z,"OAK ST & CENTRAL AVE, OAK ST & CENTRAL AVE, EL CERRITO, CA, 94530","oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530",FALSE,"oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,91.80208298165792,301.1879362915286
37.903317989736,-122.299731989531,190907127,1154 - suspicious vehicle,2019-09-07T10:05:00Z,2019-09-07T10:05:00Z,2019-09-07T10:10:00Z,"OAK ST & CENTRAL AVE, OAK ST & CENTRAL AVE, SAN FRANCISCO, CA, 94117","oak street & central avenue, oak street & central avenue, san francisco, ca, 94117",FALSE,"oak street & central avenue, oak street & central avenue, san francisco, ca, 94117, el cerrito, ca",FALSE,FALSE,FALSE,91.80208298165792,301.1879362915286
37.903317989736,-122.299731989531,250408213,parker - parking violation,2025-04-08T12:05:00Z,2025-04-08T12:05:00Z,2025-04-08T12:17:00Z,"OAK ST & CENTRAL AVE, OAK ST & CENTRAL AVE, EL CERRITO, CA, 94530","oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530",FALSE,"oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,91.80208298165792,301.1879362915286
37.903317989736,-122.299731989531,241016106,parker - parking violation,2024-10-16T08:48:00Z,2024-10-16T08:48:00Z,2024-10-16T08:55:00Z,"OAK ST & CENTRAL AVE, OAK ST & CENTRAL AVE, EL CERRITO, CA, 94530","oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530",FALSE,"oak street & central avenue, oak street & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,91.80208298165792,301.1879362915286
37.903317989736,-122.299731989531,231013259,parker - parking violation,2023-10-13T15:24:00Z,2023-10-13T15:24:00Z,2023-10-13T15:29:00Z,"CENTRAL AVE & OAK ST, CENTRAL AVE & OAK ST, EL CERRITO, CA, 94530","central avenue & oak street, central avenue & oak street, el cerrito, ca, 94530",FALSE,"central avenue & oak street, central avenue & oak street, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,91.80208298165792,301.1879362915286
37.903317989736,-122.299731989531,211109164,parker - parking violation,2021-11-09T13:32:00Z,2021-11-09T13:32:00Z,2021-11-09T13:57:00Z,"CENTRAL AVE & OAK ST, CENTRAL AVE & OAK ST, EL CERRITO, CA, 94530","central avenue & oak street, central avenue & oak street, el cerrito, ca, 94530",FALSE,"central avenue & oak street, central avenue & oak street, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,91.80208298165792,301.1879362915286
37.903397086921,-122.299709702268,230807291,10851 - motor vehicle theft,2023-08-07T17:52:00Z,NA,2023-08-07T17:53:00Z,"500 OAK ST, CENTRAL AVE & WILLOW ST, EL CERRITO, CA, 94530","500 oak street, central avenue & willow street, el cerrito, ca, 94530",FALSE,"500 oak street, central avenue & willow street, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,96.00060359807665,314.96261022991024
37.903397086921,-122.299709702268,211209296,parker - parking violation,2021-12-09T21:01:00Z,2021-12-09T21:01:00Z,2021-12-09T21:05:00Z,"500 OAK ST, CENTRAL AVE & WILLOW ST, EL CERRITO, CA, 94530","500 oak street, central avenue & willow street, el cerrito, ca, 94530",FALSE,"500 oak street, central avenue & willow street, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,96.00060359807665,314.96261022991024
37.903397086921,-122.299709702268,191004302,parker - parking violation,2019-10-04T19:09:00Z,2019-10-04T19:09:00Z,2019-10-04T19:13:00Z,"500 OAK ST, CENTRAL AVE & WILLOW ST, EL CERRITO, CA, 94530","500 oak street, central avenue & willow street, el cerrito, ca, 94530",FALSE,"500 oak street, central avenue & willow street, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,96.00060359807665,314.96261022991024
37.903653811389,-122.298663572292,190714051,1154 - suspicious vehicle,2019-07-14T03:38:00Z,2019-07-14T03:38:00Z,2019-07-14T03:41:00Z,500 RICHMOND,500 richmond,FALSE,"500 richmond, el cerrito, ca",FALSE,FALSE,FALSE,96.05936687290063,315.15540312631435
37.902338019527,-122.297938010794,201010139,1066 - suspicious person,2020-10-10T14:16:00Z,2020-10-10T14:30:00Z,2020-10-10T14:35:00Z,"410 RICHMOND ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","410 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"410 richmond street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,100.11248593931074,328.45303785863103
37.903231656134,-122.297844468755,190130241,xpat - extra patrol,2019-01-30T15:23:00Z,2019-01-30T16:18:00Z,2019-01-30T16:19:00Z,"431 EVERETT ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","431 everett street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"431 everett street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.2916745219803,342.1642864894367
37.903231656134,-122.297844468755,230821367,1154 - suspicious vehicle,2023-08-21T22:39:00Z,2023-08-21T22:46:00Z,2023-08-21T22:49:00Z,"431 EVERETT ST, FAIRMOUNT AVE & CENTRAL AVE, EL CERRITO, CA, 94530","431 everett street, fairmount avenue & central avenue, el cerrito, ca, 94530",FALSE,"431 everett street, fairmount avenue & central avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.2916745219803,342.1642864894367
37.902306419752,-122.297904986096,190426098,10851r - recovered stolen vehicle,2019-04-26T09:17:00Z,2019-04-26T09:29:00Z,2019-04-26T10:36:00Z,"6801 FAIRMOUNT AVE, EL CERRITO, CA, 94530","6801 fairmount avenue, el cerrito, ca, 94530",FALSE,"6801 fairmount avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.44264966672232,342.6596117674616
37.902306419752,-122.297904986096,200107079,594 - vandalism,2020-01-07T09:14:00Z,2020-01-07T09:45:00Z,2020-01-07T10:30:00Z,"6801 FAIRMOUNT AVE, EL CERRITO, CA, 94530","6801 fairmount avenue, el cerrito, ca, 94530",FALSE,"6801 fairmount avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.44264966672232,342.6596117674616
37.902306419752,-122.297904986096,201021043,459a - auto burglary,2020-10-21T08:30:00Z,2020-10-21T08:47:00Z,2020-10-21T09:25:00Z,"6801 FAIRMOUNT AVE, EL CERRITO, CA, 94530","6801 fairmount avenue, el cerrito, ca, 94530",FALSE,"6801 fairmount avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.44264966672232,342.6596117674616
37.902306419752,-122.297904986096,191005188,415 - disturbance,2019-10-05T13:35:00Z,2019-10-05T13:41:00Z,2019-10-05T13:50:00Z,"6801 FAIRMOUNT AVE, EL CERRITO, CA, 94530","6801 fairmount avenue, el cerrito, ca, 94530",FALSE,"6801 fairmount avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.44264966672232,342.6596117674616
37.902306419752,-122.297904986096,210211146,1066 - suspicious person,2021-02-11T11:44:00Z,2021-02-11T11:46:00Z,2021-02-11T11:50:00Z,"6801 FAIRMOUNT AVE, EL CERRITO, CA, 94530","6801 fairmount avenue, el cerrito, ca, 94530",FALSE,"6801 fairmount avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.44264966672232,342.6596117674616
37.902306419752,-122.297904986096,200310250,1066 - suspicious person,2020-03-10T14:48:00Z,2020-03-10T15:00:00Z,2020-03-10T15:28:00Z,"6801 FAIRMOUNT AVE, EL CERRITO, CA, 94530","6801 fairmount avenue, el cerrito, ca, 94530",FALSE,"6801 fairmount avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.44264966672232,342.6596117674616
37.902306419752,-122.297904986096,191212069,1066 - suspicious person,2019-12-12T09:14:00Z,2019-12-12T09:25:00Z,2019-12-12T09:31:00Z,"6801 FAIRMOUNT AVE, EL CERRITO, CA, 94530","6801 fairmount avenue, el cerrito, ca, 94530",FALSE,"6801 fairmount avenue, el cerrito, ca, 94530, el cerrito, ca",FALSE,FALSE,FALSE,104.44264966672232,342.6596117674616
