unique.df_usable.call_for_service.
911dis - 911 disconnect
xfer - call transfer
info - info only
1033a - alarm audible
unwant - unwanted person
415 - disturbance
488 - petty theft
pmisc - police miscellaneous
1066 - suspicious person
welfck - welfare check
1125 - traffic hazard
follow - follow up
1182 - accident no injury
parker - parking violation
1154 - suspicious vehicle
xpat - extra patrol
oaided - outside assist
459a - auto burglary
23103 - reckless driving
1059 - security check
10851 - motor vehicle theft
suscir - suspicious circumstances event
20002 - hit and run no injury
online - refered to online report
bolo - be on the lookout
594 - vandalism
firewk - fireworks
fp - found property
1053 - person down
243a - assault / battery
487 - grand theft
music - music
testp - police test call
fraud - fraud
602l - trespassing
unk - unknown
csb - civil standby
sw - search warrant
211 - robbery
417 - brandishing
party - party
1179 - accident w/ medical routed
374b - illegal dumping
422 - criminal threats
314 - indecent exposure
23152 - drunk driving
1183 - accident no details
flag - flag down
dogs - aggressive dogs
1124 - abandoned vehicle
653m - annoying telephone calls
opdoor - open door
hs - narcotics use/possession
1033 - alarm video / other
misper - missing person
rmc - richmond municipal code violation
1033s - alarm silent
10851r - recovered stolen vehicle
1184 - traffic control
20001 - hit and run with injury
215 - car jacking
23110 - throwing objects at a vehicle
459c - commercial burglary
459r - residential burglary
597 - cruelty to animals
fight - physical fight
lp - lost property
sfrmc - shots fired
211a - business hold up/robbery alarm
10852 - vehcile parts theft
dopers - narcotic sales
trans - transportation
1027 - wanted person / warrant
530.5 - identity theft
22350 - speeding
148.1 - bomb threat
stalk - stalking
496 - stolen property
245 - assault with a deadly weapon
1071 - shooting (actual victim)
1051 - drunk / intoxicated
484 - illegal use of a card
451 - arson
503 - embezzlement
1181 - accident minor injury
470 - forgery
titl18 - mail theft
207 - kidnapping
sa - special assignment
bunco - fraud (report)
notifi - notification
mgun - person with a gun
488ic - theft in custody
sidshw - sideshow
loiter - loitering
459 - burglary (misc)
1195 - traffic stop
vc - vehicle code violation
5150 - mental health patient
idmisc - evidence work misc.
1194 - pedestrian stop
new - new call (unknown)
1070 - prowler
odor - odor complaint
647b - prostition
243.4 - sexual battery / assault
pc - penal code / misc (report)
1195b - bike stop
1060 - pound the beat
idrec - evidence work recovered 10851
1062 - beat projects
166.4 - court order violation
1061 - community meeting
370 - public nuisance
22810 - assault with pepper spray / tear gas
537 - defrauding an innkeeper
246 - shooting into a dwelling
code5 - stakeout
247b - shooting into an unoccupied vehicle
foaided - outside assist
330 - gambling
220 - assault with intent to rape or rob
id459c - evidence work commercial burglary10/16/2023 8:50
1075 - shots fired (shotspotter)
id459a - evidence work auto burglary
footp - foot patrol - miscellaneous
601r - runaway juvenile returned
